timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783489011891,205,1_로그인,200,,Thread Group 1-14,text,true,,862,295,5,5,http://localhost:8081/api/v1/auth/login,205,0,2
1783489012091,15,2_내프로필조회,200,,Thread Group 1-13,text,true,,557,215,5,5,http://localhost:8081/api/v1/users/me,15,0,0
1783489012095,15,3_타유저프로필조회,200,,Thread Group 1-12,text,true,,485,249,5,5,http://localhost:8081/api/v1/users/483e3d05-4be2-4b7a-96bd-2de12af8b73c,14,0,0
1783489012107,11,3_타유저프로필조회,200,,Thread Group 1-13,text,true,,486,249,4,4,http://localhost:8081/api/v1/users/a3f1de2d-d67d-4bc4-914f-53078dc04bbd,11,0,0
1783489012098,27,2_내프로필조회,200,,Thread Group 1-14,text,true,,557,215,3,3,http://localhost:8081/api/v1/users/me,27,0,0
1783489012126,8,3_타유저프로필조회,200,,Thread Group 1-14,text,true,,486,249,3,3,http://localhost:8081/api/v1/users/3a192425-2e4b-45b6-ba0f-62a2d2d59e7c,8,0,0
1783489012088,189,1_로그인,200,,Thread Group 1-16,text,true,,862,295,3,3,http://localhost:8081/api/v1/auth/login,189,0,1
1783489012277,9,2_내프로필조회,200,,Thread Group 1-16,text,true,,557,215,3,3,http://localhost:8081/api/v1/users/me,9,0,0
1783489012286,17,3_타유저프로필조회,200,,Thread Group 1-16,text,true,,486,249,4,4,http://localhost:8081/api/v1/users/dfd753fd-c323-42aa-91d5-d3dca4562059,16,0,0
1783489011993,313,1_로그인,200,,Thread Group 1-15,text,true,,862,295,3,3,http://localhost:8081/api/v1/auth/login,313,0,2
1783489012306,6,2_내프로필조회,200,,Thread Group 1-15,text,true,,557,215,3,3,http://localhost:8081/api/v1/users/me,6,0,0
1783489012312,13,3_타유저프로필조회,200,,Thread Group 1-15,text,true,,486,249,3,3,http://localhost:8081/api/v1/users/1f4ea93e-d9e6-4a43-a150-a7edd6b86e7e,13,0,0
1783489012197,161,1_로그인,200,,Thread Group 1-17,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,161,0,2
1783489012359,7,2_내프로필조회,200,,Thread Group 1-17,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,7,0,0
1783489012366,7,3_타유저프로필조회,200,,Thread Group 1-17,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/57160021-9435-4b6d-8d98-b8c07bb08762,7,0,0
